Pver_Sc0004518_size2183	7.85228	17.1144	6.8105	2.16756	7.18268	4.66885	21.4702	9.93404	1.07379	30.3351	3.59148	4.56873	3.49436	14.4235	19.1581	19.9509	3.16544	4.45746	6.03863	5.71854	5.38058	35.0461	18.1712	15.9486	6.64014	2.77836	15.6828	4.42886	6.84266	28.332	4.73182	0
Pver_Sc0006272_size1408	0	0	2	0	1	0	0	0	13	1	0	1	2	0	0	2.32437	0	0	0	2	0	2	1	0	1	0	2.38019	1	0	0	0	1
Pver_Sc0003523_size3224	0	1.09759	12.1273	1.61304	1.1639	3.45154	1.22297	2.52883	9.83971	5.84554	8.897	6.15775	18.8897	1.15033	6.69146	2.18135	5.74262	2.48931	5.28486	2.52545	3.55154	15.8428	3.86092	0	1.68306	9.61741	2.51885	4.15475	11.9839	1.83673	5.64801	5.10102
Pver_Sc0006233_size1418	7.34194	14.3396	1.32007	12.9249	20.7386	9.61535	21.4253	3.65209	9.37371	14.748	5.75744	7.00592	7.79912	20.0893	26.5135	12.0574	17.4535	9.35781	3.82369	12.4604	19.2639	12.2439	28.9515	7.63817	3.93828	14.0046	1.24852	3.46708	12.5897	2.49715	11.7015	9.82817
Pver_xpSc0121546_size5746	6	7.46051	13.0204	5.35396	2.47586	0	2.03561	8.09258	6.53826	7.29864	8.02735	6.94427	2.91164	3.22259	1.99999	5	1.08613	1	3.81159	5.89469	5.36072	6.68835	2.41352	1	1	3.60409	0	1.0969	1	11	29.7456	1.70132
Pver_xfSc0001217_size5096	6.85357	2.54863	1.00207	2.02089	0	2.69	0	0	0	2.84627	3.77124	1.67987	0	9.00644	3.62421	0.856301	2.81287	2.09052	0	0	0	3.43347	2.08294	1.57733	0	3.81283	1.39317	4.50908	2.31714	8.13514	0	0
Pver_Sc0001720_size12909	6.24613	0	2.0593	7.01193	0	6.04279	2.05703	1	1.00956	5.54117	3.44211	7.05069	3.02211	5.47191	18.3837	2.94057	0	8.83789	10.1378	1.18592	0	9.35125	60.2779	0	0	0	0	3.2978	0	36.1777	0	0
Pver_Sc0000142_size522146	25264.2	37664.7	40472	40311.6	22190.9	25633.8	33092.6	24087.5	29338.2	22803.6	24815.7	22130.2	20260.3	26560.6	40298.8	30451.3	31087	30795.8	31137.5	25886.4	39107.3	22773.7	53025	22812.9	26363.3	44508.2	35995.4	17983	46357.9	39822.5	38482	24752.9
Pver_Sc0002105_size7919	5.3799	33.694	70.907	3.04573	1.07826	2.08913	35.0567	8.54332	1.00055	5.23201	0	2.33318	9.71404	9.04303	21.4643	21.3432	4.51856	20.1961	7.42922	60.264	8.80908	3.61028	150.399	4.50635	2.133	21.2148	34.5717	10.743	4.30219	4.60024	1.10439	29.2778
Pver_Sc0002806_size4640	2	4	8.57263	0	0	0	0	4.00237	0	0	0	0	0	0	2.4726	2.13862	0	1	0	3.11298	2.04463	1.44309	0	2.70747	1.22767	0	7.96967	0	6.4214	2.5744	2.13533	1.09064
Pver_Sc0004365_size2303	1	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2.01109	0	0	0	0	0	0	7	0	0
Pver_Sc0004717_size2060	2	0	0	1	0	0	4.35832	3	5.1425	1	2.35567	3.21189	0	0	0	1.69852	0	0	1.94922	1	3.50495	1.39634	0.267492	0.906651	0	1.16603	0	0	0	0	2	0
Pver_Sc0001593_size16012	41.2736	123.999	82.9686	82.4161	141.279	68.7469	77.5688	93.2271	45.2795	88.6947	105.628	106.76	8.46238	130.72	60.2137	82.2021	99.3206	73.96	64.1552	89.6589	44.7848	58.8054	67.0474	103.504	131.888	207.703	72.5751	41.9179	93.0986	24.7291	135.692	139.855
Pver_Sc0005118_size1853	0	52.1397	1	10.9309	26.9446	32	17.1419	0	1	1	2.90977	0	0	19.9047	5	5.90442	0.83557	0	8.34409	23	3.89799	0.673555	8	0	4.94144	0	21.8844	0	17.9036	0.832772	15.9531	58.7384
Pver_Sc0013034_size573	2.04224	1.01907	8.08196	2.02295	0	0	2.09894	4.21726	0	2.22238	2.05016	0	0	2.03581	8.06141	2.05722	2.0541	3.04354	5.0444	0	2.05148	0	3.46504	7.16547	3.04023	21.2603	5.06744	8	10.6112	4.01062	3.03544	0
